tile_id,center_lon,center_lat,bounds,filepath,success
13,-84.37320000000007,33.652306306306286,"[-84.37604444444452, 33.64999999999998, -84.37035555555563, 33.65461261261259]",data/naip_tiles/tile_0013.tif,True
14,-84.36751111111118,33.652306306306286,"[-84.37035555555563, 33.64999999999998, -84.36466666666675, 33.65461261261259]",data/naip_tiles/tile_0014.tif,True
15,-84.3618222222223,33.652306306306286,"[-84.36466666666675, 33.64999999999998, -84.35897777777787, 33.65461261261259]",data/naip_tiles/tile_0015.tif,True
16,-84.35613333333342,33.652306306306286,"[-84.35897777777787, 33.64999999999998, -84.35328888888898, 33.65461261261259]",data/naip_tiles/tile_0016.tif,True
17,-84.35044444444453,33.652306306306286,"[-84.35328888888898, 33.64999999999998, -84.3476000000001, 33.65461261261259]",data/naip_tiles/tile_0017.tif,True
18,-84.34475555555565,33.652306306306286,"[-84.3476000000001, 33.64999999999998, -84.34191111111122, 33.65461261261259]",data/naip_tiles/tile_0018.tif,True
19,-84.33906666666677,33.652306306306286,"[-84.34191111111122, 33.64999999999998, -84.33622222222233, 33.65461261261259]",data/naip_tiles/tile_0019.tif,True
20,-84.33337777777788,33.652306306306286,"[-84.33622222222233, 33.64999999999998, -84.33053333333345, 33.65461261261259]",data/naip_tiles/tile_0020.tif,True
21,-84.327688888889,33.652306306306286,"[-84.33053333333345, 33.64999999999998, -84.32484444444457, 33.65461261261259]",data/naip_tiles/tile_0021.tif,True
22,-84.32200000000012,33.652306306306286,"[-84.32484444444457, 33.64999999999998, -84.31915555555568, 33.65461261261259]",data/naip_tiles/tile_0022.tif,True
23,-84.44715555555555,33.6569189189189,"[-84.45, 33.65461261261259, -84.44431111111112, 33.6592252252252]",data/naip_tiles/tile_0023.tif,True
24,-84.44146666666667,33.6569189189189,"[-84.44431111111112, 33.65461261261259, -84.43862222222224, 33.6592252252252]",data/naip_tiles/tile_0024.tif,True
25,-84.43577777777779,33.6569189189189,"[-84.43862222222224, 33.65461261261259, -84.43293333333335, 33.6592252252252]",data/naip_tiles/tile_0025.tif,True
26,-84.4300888888889,33.6569189189189,"[-84.43293333333335, 33.65461261261259, -84.42724444444447, 33.6592252252252]",data/naip_tiles/tile_0026.tif,True
27,-84.42440000000002,33.6569189189189,"[-84.42724444444447, 33.65461261261259, -84.42155555555559, 33.6592252252252]",data/naip_tiles/tile_0027.tif,True
28,-84.41871111111114,33.6569189189189,"[-84.42155555555559, 33.65461261261259, -84.4158666666667, 33.6592252252252]",data/naip_tiles/tile_0028.tif,True
29,-84.41302222222225,33.6569189189189,"[-84.4158666666667, 33.65461261261259, -84.41017777777782, 33.6592252252252]",data/naip_tiles/tile_0029.tif,True
30,-84.40733333333337,33.6569189189189,"[-84.41017777777782, 33.65461261261259, -84.40448888888893, 33.6592252252252]",data/naip_tiles/tile_0030.tif,True
31,-84.40164444444449,33.6569189189189,"[-84.40448888888893, 33.65461261261259, -84.39880000000005, 33.6592252252252]",data/naip_tiles/tile_0031.tif,True
32,-84.3959555555556,33.6569189189189,"[-84.39880000000005, 33.65461261261259, -84.39311111111117, 33.6592252252252]",data/naip_tiles/tile_0032.tif,True
33,-84.39026666666672,33.6569189189189,"[-84.39311111111117, 33.65461261261259, -84.38742222222228, 33.6592252252252]",data/naip_tiles/tile_0033.tif,True
34,-84.38457777777784,33.6569189189189,"[-84.38742222222228, 33.65461261261259, -84.3817333333334, 33.6592252252252]",data/naip_tiles/tile_0034.tif,True
35,-84.37888888888895,33.6569189189189,"[-84.3817333333334, 33.65461261261259, -84.37604444444452, 33.6592252252252]",data/naip_tiles/tile_0035.tif,True
36,-84.37320000000007,33.6569189189189,"[-84.37604444444452, 33.65461261261259, -84.37035555555563, 33.6592252252252]",data/naip_tiles/tile_0036.tif,True
37,-84.36751111111118,33.6569189189189,"[-84.37035555555563, 33.65461261261259, -84.36466666666675, 33.6592252252252]",data/naip_tiles/tile_0037.tif,True
38,-84.3618222222223,33.6569189189189,"[-84.36466666666675, 33.65461261261259, -84.35897777777787, 33.6592252252252]",data/naip_tiles/tile_0038.tif,True
39,-84.35613333333342,33.6569189189189,"[-84.35897777777787, 33.65461261261259, -84.35328888888898, 33.6592252252252]",data/naip_tiles/tile_0039.tif,True
